,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,"[[4850420, 5014374, 4352232]]","[[8646656, 8648704, 8646656]]",[10234008.564086324],[33001573.129872356],[7009820.756419125],[23651963.916083835],[23583278.726841368],[88180899.67606238],[218708918.31412205],[4067853820.3403306],[13471510673.534994],[13038301617.139538],[217286823.84548426],[80934983.60068083],[21322491.230761852],[5594269.915395407],[0.2963737295257879],[0.05376518625633015],[0.26744202898219344],[1.0332258808789927]
1,"[[4577788, 4714303, 4068459]]","[[8660992, 8658944, 8644608]]",[9695721.32677901],[31182791.20690809],[7041400.712413011],[22413321.397798743],[22338827.951945446],[84478720.03874286],[208977114.71932438],[4199000722.1883783],[13994178654.933544],[13111951944.585798],[207461220.01996258],[77547131.34641188],[20144556.956115987],[5402100.519795169],[0.3141614126456314],[0.049768296922419325],[0.26443142061930647],[1.0672841628825551]
2,"[[4309928, 4439296, 3883825]]","[[8648704, 8648704, 8648704]]",[9325512.390950022],[29606942.914021596],[6666885.586994806],[21228953.062176622],[21039210.071883682],[81151087.50240652],[199010687.12120938],[4277792475.228935],[14381979505.04463],[13074000318.646338],[197602191.61135474],[74508693.18865174],[19133440.753692072],[5165381.415003321],[0.314046838177485],[0.046521818969387695],[0.2592597427762107],[1.1000442981887366]
3,"[[4629903, 4751085, 4776228, 4764764]]","[[6475776, 6475776, 6475776, 6475776]]",[15612662.89564448],[43464194.65518771],[12029910.79657003],[31704197.214501575],[31752480.62666157],[114861981.72093831],[283088909.0098062],[5176723010.688773],[17114818863.434092],[16329661272.062551],[282775292.01235867],[105897466.69758242],[28592281.66131188],[9515574.937521897],[0.37944221439133363],[0.054684963523312154],[0.2764402994874794],[1.0480816826687531]
4,"[[4269560, 4474311, 4503799, 4506240]]","[[6477824, 6477824, 6477824, 6477824]]",[14850931.428283084],[41118563.83070275],[11512658.380536256],[29711530.190503113],[29771493.930030152],[108671517.22092716],[269089263.99824446],[5361069200.768823],[17839941836.530033],[16422446115.036982],[268337213.47884697],[100219076.75674911],[27117699.568357054],[9138101.758082977],[0.3874811666285744],[0.05019320846663475],[0.2739585743475474],[1.0863145302206314]
5,"[[4157920, 4237124, 3787428, 4270503]]","[[6481920, 6481920, 6481920, 6481920]]",[13783267.858952813],[38055006.73453792],[10531323.292199513],[27780745.841205526],[27700905.7047208],[103081176.49467646],[252536906.96374398],[5365316274.225195],[18020671940.747753],[16368043116.58374],[251492716.70990565],[95051273.11734673],[25132010.437007863],[8541309.19656197],[0.3790871329515937],[0.04706841014702583],[0.2687290410015003],[1.1009667931830902]
6,"[[4517504, 4636973, 4692824, 4677927, 4669107]]","[[5173248, 5173248, 5173248, 5171200, 5181440]]",[20016745.733867742],[52002139.44607104],[14788980.799378417],[38057065.25358121],[38086142.852163695],[137918868.33722392],[340788085.26414055],[6134420734.831303],[20254841189.71741],[19391289190.0017],[340334578.65288574],[127355074.43939471],[34875772.18899912],[12454991.828473426],[0.38860013773623175],[0.05555342549772342],[0.27614889326846626],[1.0445329854685972]
7,"[[4252739, 4363472, 4392537, 4398500, 4397300]]","[[5187584, 5187584, 5185536, 5177344, 5177344]]",[19347458.74413808],[49331275.51449332],[14940551.727227107],[36127394.08043091],[36100282.18830128],[130712495.07339594],[323171429.28678423],[6375793289.128252],[21187056722.746086],[19556108051.743366],[322322980.46667945],[120478050.38094623],[32781893.596573863],[12451006.802736958],[0.4135518796059509],[0.050687250139969754],[0.2761808055766263],[1.0833984280863762]
8,"[[4037540, 4130679, 4165193, 4163853, 4165527]]","[[5179392, 5179392, 5179392, 5179392, 5179392]]",[18548834.711042583],[47012781.29943451],[13971276.780938465],[34579391.33000385],[34268265.909857206],[126425538.06228866],[309295517.2361418],[6546133749.689459],[21962806990.37776],[19590873202.104103],[308923522.0537008],[116622652.03049661],[31288620.582133196],[11912766.402440488],[0.4040347803582033],[0.04724857894185471],[0.2710549342726432],[1.1210734082041278]
9,"[[4093771, 4094155, 4094599, 4094083, 4092419, 4091395]]","[[4302848, 4302848, 4302848, 4302848, 4300800, 4302848]]",[25084002.051842295],[56800870.43561111],[19894461.074129205],[42080485.17374248],[41926990.09042665],[146103426.78119308],[359635790.1988004],[8299254674.748973],[27539695531.424828],[22778972003.107105],[358768103.9480068],[136188477.64694226],[38309818.60151621],[17619502.893803],[0.47277166582059793],[0.043333504548669396],[0.2869678762101673],[1.2089964168562282]
10,"[[4121815, 4123347, 3849823, 4125252, 4124739, 4123331]]","[[4333568, 4331520, 4331520, 4321280, 4321280, 4321280]]",[24405037.718609132],[56585699.29234574],[19031690.345614925],[41040745.9597385],[40956798.66708899],[144518846.98704135],[358157340.09289646],[7857475377.216305],[26134472717.036102],[22923137250.550617],[357766583.1896644],[134835990.59829515],[37563731.944986254],[16549252.79281024],[0.46372671598818543],[0.04558173241387644],[0.2834010893455404],[1.140091446968427]
11,"[[3937739, 4033468, 4073156, 4074947, 4074179, 4021788]]","[[4306944, 4306944, 4306944, 4306944, 4319232, 4319232]]",[23625344.03592071],[54894165.57881923],[18923222.996621925],[41136484.5389717],[40919693.94226803],[143246022.23741156],[353220230.64617777],[7587318906.117602],[25466646075.7853],[22628075216.59914],[352752698.71992],[132916536.27921571],[37146657.42146353],[16024352.73015985],[0.46001069874346034],[0.04655402455291272],[0.28566024594001627],[1.125444644850035]
